Source Title,Source Year,Study Type,Main Topic Area,Key Gaps Identified,Key Limitations Discussed,Key Recommendations,Contradictions Or Debates
Overcoming Challenges and Innovations in Orthopedic Prosthesis Design: An Interdisciplinary Perspective,2023,literature review/discussion paper,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"Review of Robotic Prostheses Manufactured with 3D Printing: Advances, Challenges, and Future Perspectives",2025,Literature review (narrative review),Customization and accessibility (with design methods and integration of technologies),"Identified gaps include the need for standardization and regulatory frameworks to ensure safety and quality; material optimization and durability research for 3D-printed materials that can withstand prolonged use; scalable, affordable integration of advanced features (adaptive/customized adjustment systems, sensors, AI, BCIs) which are currently expensive or immature; infrastructural and access gaps in low-resource settings limiting deployment despite lower printing costs. ","Limitations highlighted: economic and infrastructure barriers from high-quality printer and material costs; technical limitations of printing methods (e.g., FDM surface quality/accuracy requiring post-processing); functional/control limitations of current myoelectric and sensor systems (accuracy, sensitivity, latency); poor long-term fit/dynamic fit issues as user bodies change over time. ","Recommendations: develop international standards and regulatory frameworks for 3D-printed prosthetics; invest in materials research and multi-material/4D printing to improve durability, biocompatibility, and adaptive function; foster public–private and international collaboration to expand infrastructure and reduce costs in low-resource settings; pursue research on adaptive/dynamic prostheses and integration with AI and BCIs while ensuring affordability. ","The paper notes a tension: 3D printing democratizes access and lowers costs (e.g., e-NABLE initiatives) but real-world access remains constrained by infrastructure, certification, and regulatory differences across countries; thus claims of democratization are conditional and not universally realized. "
Prosthetic devices: Challenges and implications of robotic implants and biological interfaces,2007,literature review / discussion paper,"multiple (design methods, biological interfaces, customization, user needs)","Identifies gaps in meeting 'ideal' prosthetic requirements (control, comfort, cosmetics); insufficient understanding of biological interfaces and pathophysiological changes at implant sites needed for biocompatible designs; interdisciplinary integration between robotics, biomaterials, tissue engineering, and biomedical sciences is lacking.","Highlights limitations including inability to achieve easy control, comfort, and cosmetic acceptability simultaneously; tissue inflammatory responses at implant interfaces that degrade sensor signal transmission; insufficient consideration of biological interface interactions in design.","Recommends advancing understanding of pathophysiological changes at biological interfaces to inform biocompatible designs; advocates interdisciplinary, holistic collaboration among biomedical, tissue, and biomaterials engineers and scientists to achieve ideal prosthetic designs.",Not mentioned in source.
Adaptation Strategies for Personalized Gait Neuroprosthetics,2021,Perspective / Review (perspective paper summarizing mini-symposium),"multiple (design methods, customization, user involvement, computing architecture/accessibility)","The paper identifies several research gaps: current personalization methods are inadequate and time-consuming (trial-and-error) and do not handle large between- and within-individual variability; neuromusculoskeletal and predictive simulations are insufficiently accurate for individualized paralysis modeling; embedded/on-chip online learning for personalization is lacking; hardware challenges for low-energy real-time computing (e.g., ReRAM integration, variability, multi-bit storage) are unresolved.","Key limitations highlighted include: lack of experimental validation for simulations and inability of simulations to capture temporal variability in muscle responses; neural decoding methods (e.g., motor unit decomposition) are constrained by computational demands and limited to certain contraction types, impeding real-time use; embedded AI currently only supports offline training (no on-chip learning) limiting personalization and adaptability; ReRAM hardware has device variability, endurance and read/write trade-offs that limit reliability for continuous neuroprosthetic use.","Recommendations include: develop automated expert systems and adaptive algorithms for personalization and reduced trial-and-error; extend and validate subject-specific neuromusculoskeletal simulations using experimental data and include paralysis constraints and assistive devices in models; develop advanced algorithms for automated brain-state detection, self-adapting neurofeedback and hybrid interfaces; pursue low-energy embedded AI via in-memory processing and ReRAM, while addressing hardware variability issues; foster interdisciplinary collaboration across engineering, materials, biomechanics and clinical fields.","The paper notes debates and evolving perspectives: some evidence suggests CNS-level stimulation is necessary for motor recovery, while peripheral myoelectric approaches provide alternative, less-invasive control but may be limited by interference and may not drive recovery. Emerging work explores hybrid multi-level interfaces (brain+spinal cord or brain+periphery) as a possible resolution to this debate."
"Evaluating Effectiveness, Safety, and Patient Outcomes of 3D Printing in Orthopedic Implant Design and Customization: A PRISMA-Complaint Systematic Review",2025,Systematic review and meta-analysis,customization (3D-printed implants),"Identifies need for long-term follow-up studies on safety and durability of 3D-printed implants. Highlights economic and production barriers—high costs and need to streamline manufacturing—to improve accessibility. ",Highlights limitations including high costs and uncertainty about long-term durability and performance of 3D-printed implants. Also indicates evidence is based on studies reporting short- to mid-term outcomes (implied by call for long-term follow-up) and variability in measured parameters across studies.,Recommends conducting long-term follow-up studies on safety and durability and research/efforts to reduce production costs and streamline manufacturing to improve accessibility and adoption.,Not mentioned in source.
A review on the use of additive manufacturing to produce lower limb orthoses,2019,literature review,"customization, design methods, materials (multiple)","The review identifies limited technological maturity and exploration of AM techniques for orthoses (only vat photo-polymerisation, powder bed fusion and material extrusion have been explored), constraints on machine build volume preventing single-piece printing of large devices such as exoskeletons, and challenges in producing active exoskeletons including embedding sensors/actuators during fabrication. It also highlights that technological limitations constrained mass customisation and personalisation historically.","Limitations include high data-processing demands and costly imaging/software for digital modelling, material cost and suitability issues (vat photopolymerisation expensive; extrusion affordable but polymer-limited), inability of conventional manufacturing to produce fully customised intricate features, and increased labour/time/cost when multi-part printing and assembly are required due to machine size limits.","Recommendations focus on developing integrated mass-personalisation workflows addressing design, computational modelling/optimisation, and production; adopting design-for-additive-manufacturing practices that consider technique-specific constraints; and pursuing multi-material and embedded-sensor approaches to enable active functionality (embedding sensors/actuators).","The paper reports generally consistent findings that additive-manufactured orthoses can match the clinical performance of conventionally produced devices in small studies, but it also implies limited scale of evidence (single-subject or small cohorts) and material/technique variability, suggesting possible variability in outcomes across studies rather than direct contradictions."
3D Printing in the Creation of Orthopedic Prostheses and Orthoses,2025,Systematic review,customization,The review identifies multiple research gaps: lack of standardized protocols and regulations for 3D printed orthopedic devices; insufficient long-term clinical outcome data and validation studies to confirm durability and long-term integration of 3D printed implants and orthoses; technical barriers and variability in materials and production methods that impede wider clinical adoption.,"The paper highlights these limitations: insufficient mechanical strength of many bio-printed materials compared to native bone; materials and composites often require combinations to achieve necessary structural support, complicating design and production; lack of standardization and technical barriers in manufacturing and clinical workflows.",Recommendations include developing standardized protocols and procedures for 3D printing in orthopedics; conducting long-term clinical studies and randomized trials to validate outcomes and durability; further material research to improve mechanical properties and regenerative capacity of bio-inks.,"The paper notes tensions between the promise of bio-printed/synthetic materials to increase availability and regenerative potential, and concerns about their current limitations such as poor osseointegration or immune responses observed with artificial materials."
3D printing of maxillofacial prosthesis materials: Challenges and opportunities,2023,Review article / literature review,customization; design methods; additive manufacturing (prosthesis materials),"Identifies immaturity of 3D printing for prosthesis materials, including limited compatible materials, printability problems, defects, and low mechanical strength in printed parts; also highlights high cost of manufacturing interfaces and software as a barrier to adoption.","Highlights technical limitations: scarcity of suitable printable prosthetic materials, printability challenges causing defects, and low mechanical strength of printed components; positions the field as early-stage with attendant reliability and scalability concerns.","Calls for further research and development in additive manufacturing for prosthetic materials, focusing on material development, process reliability, and scalability to achieve successful implementation and enable large-scale biomedical applications and scalable customization.",Not mentioned in source.
A scoping review of digital fabrication techniques applied to prosthetics and orthotics: Part 1 of 2—Prosthetics,2024,Scoping literature review,design methods; customization; accessibility; multiple,"The review identifies several research gaps: lack of long-term, larger-scale studies on digital fabrication in prosthetics; insufficient research into training requirements and rectification processes for these technologies; and high variance in production workflows and materials that prevents drawing generalizable conclusions. The review also frames these as barriers to evidence-based decision-making and uptake by clinical teams.","The paper highlights key limitations: paucity of long-term and large-scale studies limiting evidence strength; lack of investigation into training and rectification processes for clinical implementation; and heterogeneity in production workflows and materials that obstructs comparability and consensus. These collectively hinder evidence-based decision-making for clinicians, developers, and policymakers.","The review recommends increased collaboration between academia, industry, and clinical teams across the pathway to market to address identified gaps and support evidence-based uptake.",Not mentioned in source.
A Systematic Review of Individualized Heart Surgery with a Personalized Prosthesis,2023,Systematic review,customization (personalization) and design methods; also touches accessibility/user involvement minimally — multiple,"Sparse and preliminary evidence base for personalized cardiovascular prostheses, with few published studies and heterogeneous small samples; absence of commercially available individualized devices despite clinical need; no consensus on optimal imaging modality for planning personalization (CT vs echocardiography vs TEE/3D-TEE); lack of randomized clinical trials and large-scale clinical studies to establish safety/efficacy; limited use of large animal models reducing translational evidence.","Limitations include reliance on preliminary/experimental data with limited reproducibility; high heterogeneity in procedures and inclusion criteria across studies, limiting comparability; current commercial prostheses limited to few predefined sizes causing patient-prosthesis mismatch (PPM); limited material/technology use (no 3D bioprinting) and varied device designs hindering standardization; widespread use of in silico modelling (FEA) but variability in modeling and validation approaches.","Calls for more randomized controlled trials and large-scale clinical studies to establish safety and effectiveness of personalized prostheses; conduct comparative studies on personalized devices across specific cardiovascular procedures (e.g., valve types); broaden systematic reviews to other cardiovascular areas and surgical subspecialties to build evidence synthesis across fields; standardize/improve imaging protocols (possibly combining CT and echocardiography modalities) to create richer preoperative datasets for personalization.","Debate exists around the optimal imaging modality for planning personalized prostheses (CT vs echocardiography/TEE/3D-TEE) with no consensus. There is tension between the prevailing one-size-fits-all commercial practice and the advocated personalized approach, highlighting a gap between clinical practice and emerging research directions."
"Individualized 3D Printed Orthopaedic and Prosthetic Devices Using AutoMedPrint Technology 

	6 Methodologies and Examples",2024,Literature review / discussion paper,Customization; design methods; accessibility; user involvement (multiple),"The paper identifies low sample sizes and insufficient patient numbers limiting validation of full automation, regulatory hurdles and the need to meet standards like FDA/EMA which impede clinical integration, a lack of standardized design and production protocols affecting adoption and consistent outcomes, unmet needs for devices that are simultaneously customizable, strong, aesthetic and economical, and gaps in QMS and PLM to ensure regulatory compliance and lifecycle management.","Limitations include reliance on operator-controlled scanning stations limiting direct patient control/access, uniqueness of the lifecycle meaning existing literature offers limited guidance for evaluation and implementation, and that the system remains a prototype with limited clinical validation despite promising cost-effectiveness and rapid production claims.","Recommendations include developing automated modeling frameworks to cut costs and time, pursuing material science and manufacturing advances to improve robustness and functionality, conducting further clinical studies and completing QMS/PLM development until ready for clinical implementation, and engaging industry partners to scale automated production for wider adoption.","The paper presents a tension between claiming that the transition to automated 3D-based manufacturing is nearly complete given mature building-block technologies, and acknowledging persistent challenges to clinical integration such as regulation and standardization. This reflects a debate about maturity versus readiness for large-scale clinical adoption."
Additive manufacturing of customized lower limb orthoses – A review,2018,systematic literature review,customization; additive manufacturing (design methods),"The paper identifies research gaps in the high cost of 3D digitizing and additive manufacturing processes used for customized lower limb orthoses, and a need for research into low-cost 3D digitizing and 3D printing technologies for orthoses development.",The review highlights the limitation of current AM-based orthoses workflows related to the cost of 3D digitizing and additive manufacturing processes.,The authors recommend further research into applying low-cost 3D digitizing and 3D printing technologies for developing lower limb orthoses.,Not mentioned in source.
Design Optimization in Lower Limb Prostheses: A Review,2019,Literature review,"design methods, customization, user involvement (multiple)","This review identifies gaps in (1) inconsistent realization of hypothesized biomechanical/clinical outcomes from current prosthesis designs, (2) limited solution space caused by anthropomorphic design focus that ignores altered post-amputation anatomy, (3) under-exploration of how prosthetic joint behavior affects whole-body gait and user experience, and (4) lack of integration between experimental parameterization and model-based simulations to improve real-world performance.","Limitations highlighted include: narrow design approaches centered on anthropomorphism that fail to consider altered anatomy, lack of consistent biomechanical/clinical benefits from current designs, and difficulty translating experimental and simulation advances into improved real-world performance.","Recommendations are: incorporate predictive tools for user performance metrics into early design optimization, and pursue two research paths—experimental parameterization of designs and model-based simulations—to better predict user outcomes and guide design.","The paper notes inconsistent findings in biomechanical analyses, indicating contradictory or non-uniform evidence about whether design hypotheses lead to the expected outcomes."
Ankle and Foot Arthroplasty and Prosthesis: A Review on the Current and Upcoming State of Designs and Manufacturing,2023,Literature review (narrative review),"multiple (design methods, customization, manufacturing/additive manufacturing, user outcomes)","Identified gaps include concerns about the structural and material integrity of AM prosthetics; lack of long-term follow-up and data on durability and functional outcomes for custom AM talus/ankle implants; economic and logistical barriers to adopting AM at scale, including costs and supply-chain/production location decisions; and insufficient research on multi-material AM, automation, and standardized post-processing methods for prosthesis manufacturing.",Limitations highlighted include implant malpositioning causing loosening and altered contact pressures; material failures such as polyethylene deformation and need for large bone resection in early designs; heterogeneity in AM processes and lack of standardized manufacturing/post-processing preventing reliable cost comparisons and possibly affecting device performance; and device bulk/weight and ergonomics affecting user acceptance despite functional benefits.,Recommendations include using patient-specific imaging and 3D-printed bone models to improve surgical planning and implant placement; accelerating prosthesis design workflows to reduce manufacturing lead times for custom AM implants; research and development of multi-material AM and automation of AM processes to improve manufacturability and material performance; and integrating AI and human-in-the-loop optimization for personalized exoskeleton tuning and performance improvement.,"Debates identified include whether neural (myoelectric) control or mechanically intrinsic (time-based/heuristic) control is superior for powered exoskeletons—evidence shows differences in muscle recruitment but no metabolic cost differences, and further research is needed. Another area with comparative findings is prosthetic foot types: ESAR feet outperform SACH in energy return and walking speed but device choice depends on activity level and user needs."
Biotechnology and 3D printing in transforming prosthetic limb manufacturing for personalised healthcare,2025,Narrative review / Literature review,"customization, accessibility, design methods, and ethical/regulatory aspects (multiple)","The review identifies gaps in integrated socio-technical research, specifically that literature often treats technical and clinical/social outcomes separately. It highlights unmet needs in material science and durability research, and the need for AI and automation research to support scalable customisation. The paper also notes gaps in regulatory harmonisation and standardised clinical/market adoption data, citing lack of global adoption statistics and regulatory uncertainty as key gaps.","The paper discusses limitations in current practice including high costs and labour intensity of traditional production methods, material limitations affecting durability and quality (raw material selection), and regulatory and standardisation barriers that impede safe implementation and access (insurance, classification, surveillance).","Recommendations include targeted material science research and development, creation of harmonised regulatory guidelines and clinical trial frameworks for additive manufacturing, and integration of ethical frameworks into development pipelines. The authors also call for interdisciplinary collaboration between academia, industry, and policymakers to implement these changes.","The paper identifies a debate or fragmentation in the literature where technical research and clinical/social outcome studies are siloed and not sufficiently integrated, but does not document direct empirical contradictions in results."
A REVIEW ON PROSTHETICS AND ORTHOTICS FOR AMPUTEES AND DISABLED,2020,literature review / case study review,"multiple (design methods, customization, accessibility, user involvement)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A review of parameters affecting success of lower-limb prosthetic socket and liners and implementation of 3D printing technologies,2022,literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
The Role of 3D Printing in Customizing Dental Prosthetics and Orthodontic Appliances,2024,Literature review,customization,"Identifies material limitations (strength, color stability, long-term durability), regulatory hurdles and lagging frameworks for patient-specific devices, technical constraints such as printer resolution and post-processing burdens, and adoption barriers in smaller or low-resource clinics limiting access and implementation. Also highlights need for research into new biocompatible materials, AI-driven design optimization, and sustainability/waste reduction.","Highlights material durability and biocompatibility issues in oral environment, stringent regulatory requirements and classification challenges for patient-specific devices, and technical limitations including printer resolution, lengthy print and post-processing times, and post-processing chemical waste.","Recommends research into new biocompatible and durable materials, integration of AI for design optimization and automation, and investigations into sustainable/recyclable materials and processes to reduce waste.","Notes mixed findings on patient satisfaction: some studies find traditional dentures score higher on speech, cleaning, stability and comfort, while others report comparable effectiveness and a portion of patients preferring 3D-printed digital dentures."
Research on prosthesis customization with 3D modeling and printing technology,2024,literature review,customization,"Identifies cost and production time as major gaps limiting wider adoption of 3D-customized prostheses, and lack of long-term clinical data / small sample sizes preventing assessment of long-term impacts and safety.","Highlights material limitations and cost as key practical constraints; notes technological/manufacturing challenges for biologically functional prostheses (complex processing, manufacturing difficulty, expense); and insufficient long-term safety/effectiveness evidence due to short follow-up and small sample sizes.","Recommends industrialization and stronger medical–industrial collaboration, standardized production lines and process verification, and rigorous evaluation of safety/effectiveness including preclinical testing and technical standards. Also recommends systematic patient follow-up and registries to collect long-term outcome data.","Presents contrasting claims about advantages of 3D-customized prostheses (better fit, less harm, added biological function) versus acknowledged issues with traditional prostheses (low cost but harmful) and the remaining concerns about cost, materials, and long-term evidence—indicating an optimistic framing tempered by recognition of unresolved limitations."
A scoping review of digital fabrication techniques applied to prosthetics & orthotics: Part 2 of 2—orthotics,2024,Scoping literature review,design methods; customization; accessibility; user involvement (multiple),"The paper identifies a lack of strong formal evidence underpinning digital fabrication in orthotics, specifically noting the absence of long-term, larger-scale studies and research into training requirements for additive manufacturing, which limits clinical decision-making and wider adoption.","Limitations highlighted include the time- and labor-intensive nature of traditional orthosis manufacturing and, crucially, the insufficient evidence base (lack of large longitudinal studies with diverse evaluation measures) that prevents demonstrating benefits of digital fabrication technologies.","The review recommends increased collaboration among clinicians, patients/service users, academia, and industry, and calls for larger, longitudinal studies using a range of evaluation measures to build the evidence base and support clinical uptake and pathways to market.","The paper notes a mixed evidence landscape: while evidence is strong for certain areas (e.g., CAD/CAM-produced insoles and spinal orthoses), many additive manufacturing applications lack long-term, large-scale evidence, indicating inconsistency and areas of debate regarding readiness for clinical adoption."
Advancements of prosthetic running blades: An in-depth literature review,2025,literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Transforming P & O Care with 3D Printing–More than Meets the Eye,2023,Discussion paper / literature review,"multiple (design methods, customization, accessibility, user involvement)","Identifies gaps in materials and processes (cost-effective, strong, durable, colourful, thermoformable materials); limited technical standards for safe and durable devices; lack of evidence on patient outcomes and operating costs/economic data for digital workflows and 3D printing; limited scanning solutions for capturing internal socket shapes and size limitations for printers affecting large devices. ","Highlights manufacturing/process limitations: layer weakness in FDM parts leading to fracture risk; limited thermoformability and color/finish changes with MJF Nylon; lack of applicable structural testing standards for many P&O components (ISO gaps); printer build-volume limits for large devices and the need to join parts (risking strength); high capital and operational costs for high-end printers (e.g., MJF).","Recommend collaboration across clinics, researchers, manufacturers, policymakers and funders to share learnings and address technical, regulatory and funding barriers; form special interest groups/networks and global collaboration (e.g., ISPO) to accelerate shared knowledge; gather and use evidence on quality of care and cost-effectiveness to validate adoption and inform reimbursement and policy.","Presents a tension between the promise of 3D printing (greater customization, efficiency, novel device possibilities) and current practical limitations (material/process shortcomings, lack of economic evidence); acknowledges uncertainty whether 3D printing will remain niche for one-off/smaller devices or become mainstream given unresolved technical, economic and regulatory issues."
Robotic prosthetic challenges for clinical applications,2016,literature review / discussion paper,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"3D Printing in Prosthetics, Orthotics and Assistive Technology: Myth and Reality",2023,Discussion paper / Editorial,additive manufacturing / design methods (multiple),"The paper identifies gaps in empirical data and understanding of structural and mechanical properties of 3D-printed prosthetic and orthotic devices, limited widespread evidence-based outcome measures historically (though improving for lower-limb prosthetics) which constrains objective evaluation of components, ongoing need to demonstrate clinical value to patients and clinicians from additive manufacturing innovations, and lack of comprehensive registries/databases capturing amputee/device data to inform research.","Limitations highlighted include reliance on prototyping without sufficient clinical validation or robust testing of devices, misconception that technology alone (3D printers) can replace clinical expertise leading to fit/safety concerns and potential harm if not paired with skilled clinicians, fragmented skillsets and insufficient interdisciplinary collaboration limiting effective translation, and a historical lack of integrated clinical-engineering expert models to guide practice.","Recommendations include active collaboration between clinicians (prosthetists/orthotists) and researchers/developers throughout research and design processes, clinicians should be open to and engage with digital production chains and additive manufacturing to ensure technologies serve practice rather than supplant it, and pursue interdisciplinary research to generate robust material, biomechanical, structural, and clinical outcome data (implied across text).","The paper notes a debate between public/media optimism that 3D printing would disrupt prosthetics and clinician skepticism regarding robustness and fit of printed components, contrasted with researchers' and industry optimism and funding support for exploring additive manufacturing's potential."
Uso da impressão 3D na personalização de próteses de quadril: uma revisão integrativa,2025,Revisão integrativa (integrative review),customization,Identified gaps: high production costs and limited access to personalized 3D-printed hip prostheses; lack of standardization in manufacturing and clinical protocols; scarcity of long-term clinical studies and follow-up data on outcomes and implant longevity.,"Limitations highlighted: conventional mass-produced prostheses have poor anatomical fit, suboptimal biomechanical stability and limited implant longevity; challenges in material selection for 3D-printed implants affecting biomechanical and biological success; current barriers include high production costs and lack of standardization and long-term evidence.","Recommendations: pursue technological advances, professional training and appropriate regulatory policies to support clinical adoption; promote cost reduction and wider access to democratize the technology; further research into materials and implant designs that enhance osteointegration and mechanical stability, and conduct long-term clinical studies to evaluate outcomes and longevity.",Not mentioned in source.
"Personalised medical product development: methods, challenges and opportunities",2011,Literature review / discussion paper,Customization (personalisation) and design methods,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Emerging Trends in Additive Manufacturing for Prosthesis Applications - A Review,Not mentioned in source.,literature review,customization; design methods; integration of smart technologies (multiple),"Identifies gaps in material performance (material anisotropy), cost barriers for production and adoption, and challenges integrating smart components/sensors and myoelectric systems into AM prostheses.","Highlights limitations including material anisotropy affecting part performance, high production costs limiting accessibility and scalability, and technical difficulties in integrating sensors and smart/myoelectric components into AM-produced prostheses.","Recommends research to improve AM material properties (e.g., address anisotropy), reduce production costs to improve accessibility, and develop methods for effective integration of smart technologies and sensors into AM prostheses.",Not mentioned in source.
Comfort and function remain key factors in upper limb prosthetic abandonment: findings of a scoping review,2020,Scoping review,"user involvement / abandonment (multiple: customization, design methods implied but primary is user involvement/abandonment)","The review identifies a lack of recent, up-to-date research on reasons for abandonment of contemporary upper limb prosthetic devices, noting that recent prosthesis advancements have not been included in existing studies. It also highlights the need to understand how reasons for abandonment have evolved over time.","The paper discusses persistent limitations in prosthetic design affecting adoption: comfort issues (weight, temperature, perspiration) and functional deficits (poor control and lack of sensory feedback) that lead users to feel more functional without devices. It also implies limited scope of past studies covering diverse device types but few recent evaluations.",The review recommends targeted research into abandonment reasons for contemporary prostheses and using those insights to guide device development and clinical practice to mitigate abandonment and better meet user needs.,Not mentioned in source.
Dispositivos de tecnologia assistiva: fatores relacionados ao abandono 1,2015,Literature review (critical review),"user involvement, accessibility, customization (multiple)","The paper identifies the need for more detailed studies on reasons for abandonment to inform selection, prescription, manufacture and use of AT devices, and calls for research into abandonment factors across additional AT application areas beyond those covered in the reviewed studies.","The review notes methodological limitations: it is a critical (non-systematic) review without a predefined protocol; included studies show high heterogeneity in sample sizes, ages, clinical conditions, device types and usage durations, and the review included only nine studies drawn from an initial 49, limiting generalizability.","Recommendations include individualized assessment of abilities, needs and context; interdisciplinary prescription processes; active user participation in device choice; design/manufacture attention to reduce pain, discomfort and noise; professional follow-up for training and adjustments; and research to detail causes of abandonment to inform practice.","The paper notes debates/heterogeneity in definitions of 'rejection' versus 'abandonment' across studies, and contrasting findings where interdisciplinary care reduced abandonment in one study, suggesting interventions can be effective though evidence is variable."
Factors Associated with Assistive Technology Discontinuance among Individuals with Disabilities,2000,Literature review / empirical study (mixed: background literature review and original survey study),user involvement / accessibility (device acceptance and discontinuance),"The paper identifies a lack of consumer-perspective research on reasons for assistive technology discontinuance, and insufficient opportunity for trialability (users rarely able to try devices before purchase) as an unmet need affecting continued use.","The paper highlights limitations in device design and service delivery: high rates of dissatisfaction leading to abandonment, insufficient relative advantage of devices (issues with effectiveness, operability, durability) contributing to discontinuance, and limited trialability/access to try devices prior to acquisition.","The paper recommends researching consumer-reported factors for discontinuance to inform improvements in assistive technology design and service delivery (e.g., enhancing trial opportunities and focusing on device effectiveness, operability, and durability).",Not mentioned in source.
Assistive technology devices: abandonment related factors,2015,Critical literature review,Abandonment / user involvement (multiple: accessibility & user involvement),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Understanding Prosthetic Abandonment,2019,literature review,user involvement,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Predictors of assistive technology abandonment.,1993,survey study / literature review mix,"user involvement, accessibility, customization","The paper identifies gaps in consumer involvement in device selection and long-term needs assessment, and a need for more country-specific studies to understand cultural and service differences affecting abandonment.","Highlights limitations including barriers to access, device misfit/inadequacy, insufficient training and support, stigma, service delivery gaps, and poor device performance; these are summarized as user-, device-, and environment-related limitations.","Recommends increased consumer involvement, ongoing monitoring post-provision, better needs assessment and customization, interdisciplinary assessment teams, improved training/support, and more context-specific research.","Notes variability and conflicting reports on abandonment/non-use rates across studies and contexts, indicating disagreement about the prevalence and timing of abandonment."
"The roles of predisposing characteristics, established need, and enabling resources on upper extremity prosthesis use and abandonment",2007,Literature review (critical review),"multiple (design methods, customization, accessibility, user involvement)","Identifies need for controlled, multifactor studies with standardized outcome measures and detailed population descriptions; unresolved effects of origin of limb loss and medical conditions such as phantom pain; insufficient evidence on efficacy of training protocols and their link to prosthesis use; inability to perform international/cross-cultural comparisons due to lack of standardized measures.","Highlights methodological limitations: heterogenous populations and small sample sizes limiting generalizability; inconsistent definitions (e.g. rejection vs non-use) hindering comparisons; variable evidence quality addressed by including only studies rated ≥2 but overall limited quantitative data; external constraints (funding, access) affect timing of fitting and study outcomes.","Calls for multi-centre trials to increase sample size; adoption of standardized outcome measures and comprehensive documentation of participant/context variables; more controlled, randomized study designs to produce rigorous evidence.","Notes debates where some factors (lifestyle, level of limb loss) have consistent support, whereas age at fitting and training efficacy show conflicting findings across studies. Time-to-fit shows contradictory evidence with studies both supporting and refuting its impact on usage. Training protocols' effect on acceptance/use is also contested."
Abandonment of assistive products: assessing abandonment levels and factors that impact on it,2018,Observational study (not a review),abandonment/usage (accessibility/user involvement),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
FACTORS INFLUENCING THE NON-USE AND ABANDONMENT OF ASSISTIVE TECHNOLOGY,2024,Literature review (review of peer-reviewed studies),"multiple (accessibility, user involvement, customization, design methods)","The paper identifies gaps in identifying and quantifying which factors most influence non-use and refusal of AT and which device types are most frequently abandoned. It highlights geographic/research gaps, e.g. limited research on AT use and perceptions in large contexts such as China.","The review highlights limitations in current AT design and practice: widespread multi-factorial causes of non-use (user, device, environment); poor user involvement in design leading to mismatch with needs; systemic implementation barriers including lack of motivation, infrastructure, and shared understanding; and insufficient adaptation/personalisation of devices.","Recommendations include: systematically identifying and understanding factors for non-use as a first step; adopting person-centred approaches and involving people with disabilities in development (“Designed by, not for”); conducting adequate needs assessment and ongoing monitoring to select/adjust AT.","The paper notes variability and contradictions in reported abandonment/non-use rates across studies (some historic ~30% vs widely varying contemporary reports), and highlights divergent findings about device impact and factors (e.g. psychosocial impact varies by device and affects future use)."
The shaping of individual meanings assigned to assistive technology: a review of personal factors,2002,Literature review,user involvement,"The paper identifies gaps in understanding how psychosocial and cultural factors shape personalized meanings and influence AT acceptance and abandonment, and indicates a need for more comprehensive, systematic research synthesizing literature on device use and abandonment since the review aggregated diverse studies across multiple databases but found limited conceptual integration.","The review highlights limitations including reliance on heterogeneous studies addressing varied topics (use, abandonment, coping, values) with limited empirical cohesion, and that theoretical perspectives (e.g., adaptation to disability) are suggested but not strongly empirically established in the reviewed literature.","The paper recommends that future research and practice should focus on understanding and facilitating users' exploration of personal meanings, expectations, social costs, and identity-related aspects to improve AT integration and reduce abandonment.","The paper notes theoretical debates regarding the role of disability adaptation processes in AT integration, indicating discussion rather than empirical consensus on how adaptation influences device meanings and use."
Assistive Technology Abandonment: Research Realities and Potentials,2018,Discussion paper / literature review,"user involvement (use and abandonment), accessibility (deployment barriers), multiple","The paper identifies a lack of real-time, long-term data on everyday AT use beyond clinical settings, high and variable abandonment rates that are insufficiently explained across device types, limited understanding of how changing user needs drive abandonment, and insufficient attention to the fact that devices are often 'needed' (not 'wanted'), which complicates adoption and retention.","The paper highlights limitations including poor configurability and adaptability of AT leading to mismatch and abandonment, physical fit and comfort issues causing non-use, and practical barriers to data-collection tools (app deployment across OS versions, background notifications, power-saving behaviors) that constrain real-time research methods.","The paper recommends collecting real-time, longitudinal experience data (via ESM and problem-reporting apps) combined with retrospective methods to understand use and abandonment, and applying these insights to inform clinician decision-making and device selection processes.","The paper notes a nuanced debate: abandonment can be 'negative' (mismatch, poor fit) or 'positive' (need resolved or replaced by better tech), and challenges the simplistic validation of device selection based solely on lack of abandonment, indicating tensions in how success is measured in AT provision."
